time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,x,y,z,.pose.orientation.x,.pose.orientation.y,.pose.orientation.z,.pose.orientation.w
2023/02/28/14:14:58.226061,18602,1677611697,64880324,map,0.04856575652957,0.030904892832041,0.039319578558207,-0.015079181910033,-0.022257404633464,-0.710802771687731,-0.702877464464307
2023/02/28/14:14:58.226798,18603,1677611697,79929012,map,0.048577032983303,0.030923448503018,0.039319127798081,-0.015079181910033,-0.022257404633464,-0.710802771687731,-0.702877464464307
2023/02/28/14:14:58.237428,18604,1677611697,87893672,map,0.048585187643766,0.030949279665947,0.039314512163401,-0.015074420303968,-0.022261167886055,-0.710796180974295,-0.702884223765137
2023/02/28/14:14:58.238668,18605,1677611697,102003757,map,0.048594269901514,0.030972667038441,0.039312850683928,-0.015074420303968,-0.022261167886055,-0.710796180974295,-0.702884223765137
2023/02/28/14:14:58.238716,18606,1677611697,113523192,map,0.048607490956783,0.031027853488922,0.039304044097662,-0.015074420303968,-0.022261167886055,-0.710796180974295,-0.702884223765137
2023/02/28/14:14:58.243243,18607,1677611697,122851355,map,0.048615705221891,0.031051330268383,0.039302460849285,-0.015074420303968,-0.022261167886055,-0.710796180974295,-0.702884223765137
2023/02/28/14:14:58.246170,18608,1677611697,139163961,map,0.04862492531538,0.031072907149792,0.039304070174694,-0.015067536208954,-0.022255534367062,-0.710791029839153,-0.702889712075067
2023/02/28/14:14:58.246206,18609,1677611697,156899081,map,0.048631776124239,0.031100131571293,0.039301291108132,-0.015067536208954,-0.022255534367062,-0.710791029839153,-0.702889712075067
2023/02/28/14:14:58.246712,18610,1677611697,157130125,map,0.048639763146639,0.03112412430346,0.039301544427872,-0.015067536208954,-0.022255534367062,-0.710791029839153,-0.702889712075067
2023/02/28/14:14:58.246930,18611,1677611697,169341129,map,0.048648715019226,0.031145058572292,0.039304573088884,-0.015067536208954,-0.022255534367062,-0.710791029839153,-0.702889712075067
2023/02/28/14:14:58.246968,18612,1677611697,177833868,map,0.048656076192856,0.031172063201666,0.039305619895458,-0.015059148656828,-0.02224681293287,-0.710788449991043,-0.702892797685359
